name,image_url
Michael Bennet,//Democracy-for-America.github.io/rcv/images/MichaelBennet.jpg
Joe Biden,//Democracy-for-America.github.io/rcv/images/JoeBiden.jpg
Cory Booker,//Democracy-for-America.github.io/rcv/images/CoryBooker.jpg
Steve Bullock,//Democracy-for-America.github.io/rcv/images/SteveBullock.jpg
Pete Buttigieg,//Democracy-for-America.github.io/rcv/images/PeteButtigieg.jpg
Julián Castro,//Democracy-for-America.github.io/rcv/images/JulianCastro.jpg
Bill de Blasio,//Democracy-for-America.github.io/rcv/images/BilldeBlasio.jpg
John Delaney,//Democracy-for-America.github.io/rcv/images/JohnDelaney.jpg
Tulsi Gabbard,//Democracy-for-America.github.io/rcv/images/TulsiGabbard.jpg
Kamala Harris,//Democracy-for-America.github.io/rcv/images/KamalaHarris.jpg
Amy Klobuchar,//Democracy-for-America.github.io/rcv/images/AmyKlobuchar.jpg
Wayne Messam,//Democracy-for-America.github.io/rcv/images/WayneMessam.jpg
Beto O'Rourke,//Democracy-for-America.github.io/rcv/images/BetoORourke.jpg
Tim Ryan,//Democracy-for-America.github.io/rcv/images/TimRyan.jpg
Bernie Sanders,//Democracy-for-America.github.io/rcv/images/BernieSanders.jpg
Joe Sestak,//Democracy-for-America.github.io/rcv/images/JoeSestak.jpg
Tom Steyer,//Democracy-for-America.github.io/rcv/images/TomSteyer.jpg
Elizabeth Warren,//Democracy-for-America.github.io/rcv/images/ElizabethWarren.jpg
Marianne Williamson,//Democracy-for-America.github.io/rcv/images/MarianneWilliamson.jpg
Andrew Yang,//Democracy-for-America.github.io/rcv/images/AndrewYang.jpg
Other,//Democracy-for-America.github.io/rcv/images/Other.jpg